Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
1479,S.N. INDUSTRIES (PVT) LTD.,BONDED FABRIC,VISHKA JAYASUNDARA,Apparel,NO. 19,CONRAD PREMATHIRATNE MW,"LIYANAGE MULLA, SEEDUWA","011 2251110,0722815323",112251110,vishakaj@gmail.com
1480,SAEGIS CAMPUS (PVT) LTD.,TRAINING INSTITUTE TO TRAIN BUSINESS & IT,D M U G DASSANAYAKE,Knowledge Services,"NO. 08, PIETERSZ PLACE",KOHUWALA,NUGEGODA,2814908,2810896,gm@siksil.com
1481,SAEMAUL CLOTHING EXPORT (PVT) LTD.,GARMENTS,SWARNA PERERA,Apparel,"6/4, CHARLEMONT ROAD,",COLOMBO 06,,112580075,112508782,accounts@greatwaysapparels.com
1482,SAFFRON AVIATION (PVT) LTD.,DOMESTIC AIRLINE SERVICE,SEAN DWIGHT,Tourism & Leisure,SAFFRON AVIATION (PVT) LTD,NO 11 YORK STREET,COLOMBO 01,2475450,2440738,Sean.Dwight@cinnamonair.com
1483,SAFIYAH HOLDINGS (PVT) LTD.,HOUSING COMPLEX,MIZHAR ARIFF - C E O,Infrastructure,"91 , MESSENGER  STREET",COLOMBO 12.,,077 2277720,7399203,ajsons@telenett.net
1484,SAGASOLAR POWER (PVT) LTD.,10 MW SOLAR POWER PLANT,ANVRA VIDANAGAMAGE,Utilities,"NO. 123/8, SINGHE MW.",DAMBULLA RD.,KURUNEGALA,0777 804559,037 2223368,anvarv@151.lk
1485,SAHAS (PVT) LTD.,BOUTIQUE HOTEL - 12 ROOMS,DHEESHANA AMERESEKERA,Tourism & Leisure,NO. 167/4,VIPULASENA MW.,COLOMBO 10,"2696814, 2686364",2697134,thevaresidency@theva.lk
1486,SAHAS WEAR (PVT) LTD.,READYMADE GARMENTS,PRASANNA RATHNAYAKE,Apparel,NO. 101,NEGOMBO RD.,PELIYAGODA.,0115925925/0773379395,,prasanna.cvlanka@gmail.com
1487,SAIL LANKA CHARTER (PVT) LTD - EXP - I,SAIL LANKA CHARTER (PVT) LTD -EXPANSION - I,MR.DULIP SENANI WICKRAMARATNE,Tourism & Leisure,"69/5 B, ELVITIGALA MAWATHA",COLOMBO 08,,077 7568760,011 2673250,dulip.wickramaratne@gmail.com
1488,SAIL LANKA CHARTER (PVT) LTD.,PASSENGER BOAT SERVICE,SAMAN KUMARA WEERAWARDANA,Tourism & Leisure,"69/5 B, ELVITYGALA MAWATHA",COLOMBO-08,,712632500,,samanbaffpolymech@gmail.com
1489,SAIL LANKA CHARTER (PVT) LTD. -EXP 2,PASSENGER BOAT SERVICES,DULIP SENANI WICKRAMARATNE,Tourism & Leisure,"NO. 69/5B, ELVITIGALA MAWATHA,",COLOMBO 08.,,777568760,112673250,dulip.wickramaratne@gmail.com
1490,SAJEERO GARMENTS INTL. (PVT) LTD.,READYMADE GARMENTS (CHILDREN'S & LADIES DRESSES,J K R S JAYAKODY,Apparel,NO. 102/11,POORWARAMA RD.,COLOMBO 05,,,
1491,SAM LANKA ICE (PVT) LTD.,ICE PLANT,MOHAMED NAWAZ GHAZALY,Manufacturing,NO. 31/4,HORTON PLACE,COLOMBO 07.,2687579,2687006,nawaz@hstmail.com
1492,SAM LANKA ICE AMBALANGODA (PVT) LTD,MFG. ICE & PROVIDE COLD STORAGE FACILITIES TO EXPORTERS,MR. R DEEN - DIRECTOR,Manufacturing,NO. 73 1/1,WARD PLACE,COLOMBO 07,777427491,,deen@samlanka.com
1493,SAMAN JALA VIDULI COMPANY (PVT) LTD.,2.2 MW MINI HYDRO POWER PLANTS,PRABODHA SUMANASEKERA  - DIRECTOR,Utilities,V S HYDRO (PVT) LTD.,"NO. 19, MEETOTAMULLA RD.",KOLONNAWA.,2533443-4,2572546,prabodhaks@yahoo.com
1494,SAMAN VILLAS (PVT) LTD.,27 SUITES,THILAKASIRI DUNUHINGA - ACCOUNTANT,Tourism & Leisure,ATURUWELLA,INDURUWA.,,034-2275435/2270207/2270208,034-2275433,accts@samanvilla.com
1495,SAMANGIRI HYDRO ELECTRIC COMPANY PVT LTD,2.4 MW HYDRO POWER PROJECT,CHAMANTHI PERERA,Utilities,"NO.12, DON KAROLIS RD.;","JAWATTA ROAD, COLOMBO 05",,112507324,112590847,chamanthi@pantak.lk
1496,SAMMANEE POWER (PRIVATE) LIMITED,1.2 MW MINI HYDRO POWER PLANT,MR.C. D. GUNASEKERA - MANAGING DIRECTOR,Utilities," 50/9 ,","PELAWATTA RD,",NUGEGODA.,011-5374300,011-5372000,sammaneepas@gmail.com
1497,SAMPATH ASSO. INTL.(PVT) LTD.,GARMENTS,E.B. MELDER - FIN. MANAGER,Apparel,NO. 22 A,PELAWATTA MW.,NUGEGODA.,2821098,2821099,accounts@sampath.org
1498,SAMPATH ASSOCIATES (PVT) LTD.,GARMENTS - TAKE OVER WINTIME FASHIONS - KEBITHIGOLLEWA,MR.E.B. MELDER,Apparel,"22A, PELAWATTE MAWATHA",NUGEGODA,,2821098,2821099,accounts@sampath.org
1499,SAMPATH CENTRE LTD.,AN OFFICE COMPLEX,MRS. SHIROMI KOTHALAWALA,Infrastructure,110.SIR JAMES PEIRIS MW.,COLOMBO 02,,2300327,112307807,shiromik@sampathcentre.com
1500,SAMTESSI BRUSH MANF. (PVT) LTD.,"COIR BRUSH/BROOM,COCONUT FIBRE",SAMAN MUDALIGE,Manufacturing,NO 110,KUMARAN RATHNAM RD,COLOMBO 02,113144100,,samanm@samtessi.com
1501,SANARA MANDIRA (PVT) LTD.,ENTERTAINMENT CENTRE,W PEMASIRI-DIRECTOR,Tourism & Leisure,"NO.336,MAKOLA RD.,",KIRIBATHGODA.,,01-907937,,info@sanaramandira.com
1502,SANCHIA (PVT) LTD.,GARMENTS,AMITHA HEWADEWA,Apparel,"NO. 89, OLD KESBEWA ROAD",RATHTHANAPITIYA.,,0777846473/0113383019,112516507,amitha@sanchia.com
1503,SANCITY HOTELS AND PROPERTIES LTD.,240 ROOMED CITY HOTEL,R. WANNIGAMA,Tourism & Leisure,NO 295,MADAMPITIYA RD.,COLOMBO 14,"071 8270640, 2521833",2522942,wannigama@sanken.lk
1504,SANCTA MARIA COIR PROD. (PVT) LTD.,"COCOPEAT PRODUCTS & HORTICULTURAL(COIR POTS,BABY FIBER ETC.)",DEEPTHA APPUHAMY,Manufacturing,SANCTA MARIA,"CHILAW RD., MUDUKATUWA",MARAWILA.,032-2254435/0777-383667/792370,032-2254269,srismc@sltnet.lk
1505,SANDA (PVT) LTD.,"COIR PEAT,COCONUT HUSK CHIPS",S  GUNASIRI SOMARATHNE - MANAGER,Manufacturing,KURUNEGALA RD.,POTHUWILA,MADAMPE.,032-2247739,032-2247738,kumari1216@gmail.com
1506,SANJE (PVT) LTD.,DEVELOP SOFTWARE,MUMTAZ RAHMAN,Knowledge Services,NO. 11/18A SCHOOL AVENUE,SCHOOL AVENUE,MAHINDARAMA ROAD,4400002,4400002,mumtaz@sanje.com
1507,SANSU LANKA (PVT) LTD.,PHOTO ALBUMS & STATIONERY,MR. D.Y. KIM - DIRECTOR,Manufacturing,SANSU LANKA (PVT) LTD,WERAHERA,YAKWILA,037-2246161,037-2246177,dykim@sansulanka.com
1508,SANTAK POWER (PVT) LTD.,HYDRO POWER - 1.5 MW,NAYANA JAYAWARDENA,Utilities,NO. 132,"OLD RD., NAVINNA",MAHARAGAMA.,077-3017672,2577375,winvators@sltnet.lk
1509,SANWICK HOLDINGS (PVT) LTD.,MIXED DEVELOPMENT PROJECT,,Infrastructure,SANWICK HOLDINGS (PVT) LTD,"NO.11, 1/1, MCLEOD ROAD,",COLOMBO-04, 0112 582775-6,011 258277,
1510,SAPPHIRUS LANKA (PVT) LTD.,CUT & POLISH GEM & MFG. HIGH VALUE JEWELLERY,RANDIKA FERNANDO,Manufacturing,"NO. 112,",MAIN STREET,RATNAPURA,114884793,,accounts@sapphiruslanka.com
1511,SAPTHAKANYA HYDRO ELECTRIC CO. (PVT) LTD,1.3 MW MINI HYDRO POWER PLANT,AYOMA NANAYAKKARA,Utilities,"2 FLOOR, SAYURU SEVANA","46/12, NAWAM MAWATHA",COLOMBO 02.,2439201,,ayoma.lvl@gmail.com
1512,SARASAVI EXPORTS (PVT) LTD.,SOCKS,M B S THARANGA DAYASIRI - ACCOUNTANT,Apparel,"NO. 61, AMBATHALE",MULLERIYAWA NEWTOWN,,2414522,2414510,sigiri@dialogsl.net
1513,SASCON PROPERTY DEVELOPERS (PVT) LTD.,BUILDING  FOR COMMERCIAL PURPOSE,R.GANGATHARAN,Infrastructure,NO. 752/5,DR. DANISTER DE SILVA MW.,COLOMBO 09,2674351,2695660,md@sacoatings.lk
1514,SASIRI POLYSACKS (PVT) LTD.,WOVEN POLYPROPYLENE SACKS,JAMES ARULRAJAH,Manufacturing,BUJJAMPOLA,DANKOTUWA.,,"031-2255306,0770938888",031-2259306,accounts@sasiri.net
1515,SCICOM LANKA (PVT) LTD,PROVIDE BPO & KPO SERVICES,ACHINI PERERA,Knowledge Services,"NO. 466,","GALLE ROAD,",COLOMBO 03,011 5 882 885,011 5 520 000,achini.perera@scicom.com.my
1516,SCREENLINE (PVT) LTD.,"SCREEN & LABLE PRINTING,EMBROIDERY SER.,PRINTING OF HANGTAGS",DULIP GAYAN RANCHAGODA,Apparel,NO. 18/4,"THALWATTA, GONAWALA",KELANIYA.,"2917212, 2906372",2917211,dulip@screenlineholdings.com
1517,SCREENLINE IMAGING (PVT) LTD.,HEAT SEAL PRINTING SERVICES,RAJEEWA SENEVIRATNE,Apparel,"18/4,  BIYAGAMA ROAD","THALWATTA, GONAWALA",KELANIYA.,0722-355322,011 2917211,rajeewa@screenlineholdings.com
1518,SEA LOTUS PARK HOTEL (PVT) LTD.,BEACH HOTEL - 60 ROOMS,MR. J D ARENDTZ,Tourism & Leisure,"NO. 33, ALLES GARDEN",TRINCOMALEE,,0262225327/8,262224566,lotuspark@sltnet.lk
1519,SEAGULL RESIDENCIES (PVT) LTD.,APARTMENT COMPLEX,J A VEDANAYAGAM - COMPANY SECRECTOR,Infrastructure,ACCOUNTING AND ALLIED SERVICES (PVT) LTD,"67A,",DAVIDSON ROAD,2592713,2591152,netasset@sltnet.lk
1520,SEASHELLS HOTEL (PVT) LTD.,REFURBISHMENT OF SEASHELLS HOTEL P LTD.- 55 ROOMS,R A E SAMARASINGHE,Tourism & Leisure,"""JETWING HOUSE""","NO. 46/26, NAWAM MW.",COLOMBO 02,2345700,"4627908, 2345729",ruan@jetwinghotels.com
1521,SEEVIEW PROPERTY DEVELOPERS (PVT) LTD.,LUXURY APARTMENTS,CHAMILA WASALA,Infrastructure,NO.329,MEEWELLA BUILDING,"GALLE ROAD, COLOMBO 04",112592999,112592998,wasala_cn@yahoo.com
1522,SEGUWANTIVU WIND POWER (PVT) LTD.,10 MW WIND POWER PLANT, LASITH WIMALASENA,Utilities,NO.334,"T.B. JAYAH MAWATHA,",COLOMBO 10,112697151,112699029,lasith@windforce.lk
1523,SELTA (PVT) LTD.,"HOME & KITCHEN TEXTILE, SCREEN &TRANSFER PRINTING",K W S PRADEEP - MANAGING DIRECTOR,Apparel,NO. 134/1,TEMPLE RD.,MAHARAGAMA.,2843030/33,2843100,pradeep@sadakoindustries.com
1524,SENAKA ZENN (PVT) LTD.,"PRE STRESSED SPUN CONCRETE ELECTRICAL POLES, PILES",PRIANTHA FERNANDO,Manufacturing,NO. 18/2,SUJATHA MW.,KALUBOWILA,0777 340362,112732386,prianthafernando_16@yahoo.com
1525,SENIT TECHNOLOGIES (PVT) LTD.,BPO CENTER TO PROVIDE CREDIT CARD SERVICES,NUJANI WIJETUNGE,Knowledge Services,"WTC,16 LEVEL ,WEST TOWER",,COLOMBO 01.,5700700,2472443,nujani@roomsnet.com
1526,SENOK AVIATION (PVT) LTD.,DOMESTIC & REGIONAL AIR SERVICES,MS. S. SARASNATHY -,Tourism & Leisure,NO. 3,R A DE MEL MW.,COLOMBO 05,077 3476268,,saraswathy@senoksl.com
1527,SENOK CONCRETE (PVT) LTD.,PRE-CAST PRODUCTS,S.PRAVEENA,Manufacturing,NO. 3,R A DE MEL MW.,COLOMBO 05.,773502981,112580017,praveena@senoksl.com.com
1528,SENOK TEA CEYLON (PVT) LTD.,TEA BAGS & PACKETS,J.K.JEEVANDARA,Manufacturing,"NO. 19/1,  HOKANDARA RD.",KALALGODA,PANNIPITIYA.,2562699,25626700,finance@senokteaceylon.com
1529,SENOK WIND ENERGY (PVT) LTD.,10 MW WIND POWER PROJECT,MS S PRAVEENA,Utilities,NO. 3,R A DE MEL MW.,COLOMBO 05,011-2352900,011-2584791,praveena@senoksl.com
1530,SENOK WIND POWER (PVT) LTD.,9.2 MW WIND POWER GENERATION PLANT,MRS. P SIVAMOHAN,Utilities,NO. 3,R A DE MEL MW.,COLOMBO 05,112352900,2584791,praveena@senoksl.com
1531,SENOK WIND RESOURCE (PVT) LTD.,10 MW WIND POWER PLANT,MRS. P G V DIAS,Utilities,NO. 3,R A DE MEL MW.,COLOMBO 05,2352900,2584791,praveena@senoksl.com
1532,SERENDIB AGRI BUSINESS (PVT) LTD,"RICE,RICEFIOUR MILLING PLANT & MANUFACTURING OF RICE NOODLES",THUSHAN SILVA,Agriculture,SERENDIB AGRI BUSINESS (PVT) LTD,NO.06 WALPITA FARM,DIVULAPITIYA,766769946,332240435,fhtd1980@yahoo.com
1533,SERENDIB FLOUR MILLS (PVT) LTD.,"FLOUR, BRAN &POLLARD",MR MOHAMED RIYAL,Manufacturing,"245/52, OLD AVISSAWELLA ROAD",ORUGODAWATTE,WELLAMPITIYA,011-7777000,011-7777111,mohemedr@sfml.lk
1534,SERENDIB MARITIME (PVT) LTD.,WAREHOUSE  AND LOGISTIC SERVICE FACILITY,MS. NILUKA WELIKALA,Services,"NO. 324, SERENDIB TOWER",GALLE ROAD,COLOMBO 03,0112301510/12,112301511,info@serendiblogistics.com
1535,SERENDIB MARITIME (PVT) LTD.,WAREHOUSE &  LOGISTIC SERVICE FACILITY,MS. NILUKA WELIKALA,Services,NO.  324,SERENDIB TOWER,"GALLE ROAD, COLOMBO 03",0112301510/12,011 2301511,
1536,SERENDIB MARITIME (PVT) LTD. - EXP,BONDED WAREHOUSE & LOGISTIC SERVICES,MS. NILUKA WELIKALA,Services,NO. 324,SERENDIB TOWER,"GALLE ROAD, COLOMBO 03",0112301510/12,112301511,niluka@serendiblogistics.com
1537,SERENDIB PROPERTIES LANKA (PVT) LTD.,COMMERCIAL COMPLEX,KHUZAIMAH ABIDALI JAFFERJEE-DIRECTOR,Infrastructure,NO. 279,SIR RATNAJOTHI SARAVANAMUTTU,"MW., COLOMBO 13.","2433138,2431969,0777-347786",2529302,info@serendibinvestments.com
1538,SERENDIPOL (PVT) LTD.,VALUE ADDED ORGANIC COCONUT KERNEL PRODUCTS,MR. MANGALA  GALLELLA,Agriculture,SERENDIPOL (PVT) LTD,"PANNALA RD, DANDAGAMUWA,",KULIYAPITIYA,"037-2284568, 0773-635753",037-2284567,accountant@serendipol.com
1539,SERENE INTERNATIONAL (PVT) LTD.,"FRUITS, VEGETABLES",F H GHANY - DIRECTOR,Agriculture,54/1 THERESA MW,KANDANA,,2981851,773020838,sereneinternational@gmail.com
1540,SERENE PAVILIONS (PVT) LTD.,TOURIST RESORT - 38 ROOMS,ANURA LOKUHETTY - DIRECTOR,Tourism & Leisure,NO. 40/2,LAKE GARDENS,RAJAGIRIYA,"4850230, 0777 393339",,lokuhettyanura@yahoo.com
1541,SERVICE SHOES LANKA (PVT) LTD.,SHOES,MR. MAALIK AZIZ - CEO,Manufacturing,"60B, RING RD.","PHASE II, E P Z",KATUNAYAKE,"0777-185645,011-2253138",,maalik@ssl.lk
1542,SETMIL DEVELOPERS LANKA (PVT) LTD.,CONSTRUCT  & OPERATE A MODERN OFFICE COMPLEX,S HATHTHOTUWA- MANAGER FINANCE,Infrastructure, NO. 256,SRIMATH RAMANADAN MW.,COLOMBO 15.,2485150,2392906,sevvandhi@setmil.com.lk
1543,SETMIL DEVELOPMENT (PVT) LTD.,9 STOREY OFFICE COMPLEX,S HATHTHOTUWA,Infrastructure,NO 256,SRIMATH RAMANATHAN MW.,COLOMBO 15.,2485150,2392906,sevvandhi@setmil.com.lk
1544,SEWALANKA ORGANIC SEEDS COMPANY PVT LTD.,ORGANIC CONSUMPTION SEEDS,MR P U DIAS - DIRECTOR / MS J WEDAMULLA,Agriculture,"NO. 432 A, 2ND FLOOR",COLOMBO ROAD,BORALESGAMUWA,"2545162,0773829944/0772985196",2545166,udeni@sevalanka.org
1545,SEYLON INDUSTRIES (PVT) LTD.,MARBLE SLABS,SUSHIL KUMAR MISHRA -,Manufacturing,"NO. 83 A, B. E.P.Z","WALGAMA, MALWANA",BIYAGAMA.,"248,718,207,765,889,000,000,000,000",2487183,sushil_mis2000@yahoo.com
1546,SHAKTI VANI AYURVEDIC RESORT (PVT) LTD.,20 ROOMED HOTEL AT KALKUDAH,MR.FIRAAZ SYAL,Tourism & Leisure,"202, HIGH LEVEL ROAD",NUGEGODA,,077 3526927,,firaaz@hotmail.com
1547,SHANBE JEANS CORPORATION (P) LTD.- EXP 2,GARMENTS,BERTY WIJERATHNE,Apparel,NO. 06,ARAMAYA RD.,COLOMBO 09,4618861,4615959,berty@gclanka.com
1548,SHANBE JEANS CORPORATION (PVT) LTD.,"JACKETS, PANTS, SHORTS, SKIRTS",BERTY WIJERATHNA - EXE. DIRECTOR,Apparel,"NO.06,ARAMAYA RD.",DEMATAGODA,COLOMBO 09.,4652800,4652828,berty@gclanka.com
1549,SHANGRI-LA INVESTMENTS LANKA (PVT) LTD.,LUXURY HOTEL - 400 ROOMS,M SAJJAD MAWZOON,Tourism & Leisure,"NO. 04, LAURIES PLACE",R A DE MEL MW.,COLOMBO 04,4542910-12,4542962,ajith.jayasiri@shangri-la.com
1550,SHANTHEE BATIKS & EXPORTS (PVT) LTD.,"JACKETS, SHORTS, COVERALLS, PANTS",MS. L L ASOKA JAYALATH MENIKE -ACCOUNTAN,Apparel,NO. 7 2/2,SOYSAPURA KATUBEDDA,MORATUWA.,011-2635050/077-7576471,2635050,asokajm@gmail.com
1551,SHAW WALLACE PROPERTIES LTD.,WAREHOUSE,UPUL WEERARATHNA,Services,NO. 69,"SRI JINARATANA RD,",COLOMBO 02,2675477,2675141,upulw.fmcg@renukafoods.com
1552,SHELL COAST RESORT (PVT) LTD.,RESTAURANT IN MANNAR,DASA KRALOVICOVA,Tourism & Leisure,SHELL COST RESORT,UVARY,PESALAI,771449062,,contact@shellcoastresort.com
1553,SHELLMAN TEX-WASTE EXPORTERS (PVT) LTD.,"WASTE FABRIC, DUSTERS & WIPERS",MRS. UPAMALI KUMUDU RATHNAYAKA,Apparel,"NO. 512/2/D, KURUDUWATTA",HUNUPITIYA,WATTALA,071 732304,602104838,upamali.123@gmail.com
1554,SHIN TAKAZU LANKA (PVT) LTD.,RECONDITIONING OF MOTOR CYCLES,M. D. LIYANAGE - DIRECTOR,Manufacturing,NO. 197,DAMBULLA RD.,KURUNEGALA.,071-2225983,,shintakazu@yahoo.com
1555,SHIN WOO LANKA (PVT) LTD.,RUBBER MASKS & LUGGAGE,K D YOON,Manufacturing,MAHAGEDARAWATTA,MADAMPELLA ROAD,KATANA.,031-2240512,031-2258651,kdyoon@eureka.lk
1556,SHINAGAWA BEACH RESORTS (PVT) LTD.,27 ROOMED HOTEL,MAHINDA GALAGEDERA,Tourism & Leisure,ASIA LEISURE,"LEVEL 21, WEST TOWER","WORLD TRADE CENTRE, COLOMBO 01","5230000,0777 668577,0773082608",2439979,mahindag@asialeisure.lk
1557,SHINKOU KOUGYOU LANKA (PVT) LTD.,"STEEL PRODUCTS (MANHOLE COVERS, DRAIN COVERS FOR CANALS )",NIRMALA KARAWGODA,Manufacturing,NO. 184 1/8,BASELINE RD.,THIBIRIGASKATUWA,"031 2226219, 0777 287316",031 2277607,nirmalikarawgoda@gmail.com
1558,SHIRAN APPARELS (PVT) LTD.,GARMENTS,MR.SHIRAN FERNANDO -CHAIRMAN,Apparel,"NO.100,HIGH LEVEL RD.","KIRULAPANA,COLOMBO",,"011-2515472,077-7230723",2512745,shiran@shiranform.com
1559,SHIRAN APPARELS KIRINDIWELA (PVT) LTD.,GARMENTS - NON QUOTA,ANURANGA WIJETHILLEKE,Apparel,"NO. 320 , 2 FLOOR, T B JAYAH MAWATHA",COLOMBO 06.,,4517777,2512745,wafgroup@webstation.lk
1560,SHIRAN CLOTHING (PVT) LTD.,GARMENTS,K.C. SILVA - GENERAL MANAGER,Apparel,NO. 153,KELANIMULLA RD.,ANGODA.,"578273 , 578873",2567652,shiranclothing@desmondmark.com
1561,SHIRAN GAR. (PVT) LTD.,GARMENTS,MR.SHIRAN FERNANDO - CHAIRMAN,Apparel,"100, HIGH LEVEL RD.",KIRULAPONE,COLOMBO 6.,077-7230723,2512745,shiran@shiranform.com
1562,SHIRAN PERM POLYPACKS (PVT) LTD.,GARMENT ANCILLARIES,MR.SHIRAN FERNANDO - CHAIRMAN,Apparel,"591A , MAHINDA MW.",ATHURUGIRIYA RD.,MALAMBE.,077-7230723,2561420,shiran@shiranform.com
1563,SHORE TO SHORE (PVT) LTD.,"PRINTED TAGS,LABELS",YUGANTHI JEEWANDARA,Apparel,RING ROAD 1,E P Z,KATUNAYAKE,2256600,2256591/2,yuganthi@shr2shr.lk
1564,SIAM CITY CEMENT (LANKA) LTD.,CEMENT,SIDANTHA TANTIRIMUDALIGE - EX. ASSISTANT,Manufacturing,,,,"2310931,0777-680911",2300522,sidantha.tantirimudalige@holcim.com
1565,SIAM CITY CEMENT (LANKA) LTD.,CEMENT,NIRASHA SENEVIRATHNE,Manufacturing,NO. 413,R A DE MEL MW.,COLOMBO 03.,117800753,2555438,nirasha.seneviratne@siamcitycemt.com
1566,SIDDHALEPA AYURVEDA HEALTH RESORT P.LTD.,AYURVEDIC HEALTH RESORT - 50 ROOMS,W.A. SRIYAKANTHI,Tourism & Leisure,NO. 33/3,SRI DHARMARAMA RD.,RATMALANA.,2736910,2735465,siddalep@slt.lk
1567,SIDDHALEPA EXPORTS (PVT) LTD.,"AYURVEDA SPA PRODUCTS (TEA, SOAP, SHAMPOO, MASSAGE OILS)",MS. DILINI - ACCOUNTANT,Agriculture,NO. 33/3,SRI DHARMARAMA RD.,RATMALANA,"2736910, 2738688",2735465,siddalep@slt.lk
1568,SIGIRI EXPORT (PVT) LTD.,NON-QUOTA GARMENTS,AYESHA JAYAWARDHANA,Apparel,NO 61 AMBATHALE,MULLERIYAWA NEW TOWN,,011-2414521,0112-414510,sigiri@dialognet.lk
1569,SIGIRI ROOFINGS (PVT) LTD.,ASBESTOS CEMENT SHEETS & ACCESSORIES,M SHELTON FERNANDO,Manufacturing,THARAWILLUWA,BATTULUOYA,,777110678,322258846,sigirifinance@gmail.com
1570,SIGIRIYA JUNGLES (PVT) LTD.,4 STAR HOTEL WITH 60 CHALET AT SIGIRIYA,D.T.SENARATNE,Tourism & Leisure,"NO:08,","02ND LANE,",DEHIWALA,011 2732903/4,011 2716629,sigirijungles@sltnet.lk
1571,SILUETA (PVT) LTD,"MOULDED BRA CUPS&LAMINATED BRA, MFG. & EXP. LACE FABRIC",S.M IMBULANA,Apparel,"LOT 14 , ZONE 01","B E P Z , WALGAMA",MALWANA.,114768046,4768010,sukhithai@masholdings.com
1572,SIMCENTRIC TECHNOLOGIES (PVT) LTD.,DEVELOP SOFTWARE,DR. ROMESH RANAWANA,Knowledge Services,"NO. 2/2, 5",19TH LANE,COLOMBO 03.,"4368969, 0771756464",,romesh.ranawana@simcentric.com
1573,SIMMET (PVT) LTD.,NON FERROUS METAL PRODUCTS,MR RAJENDRAN CHOUDRAY,Manufacturing,"NO: 9 & 10, EPZ",HORANA,,034-2255514,,simmet123@yahoo.com
1574,SINGHE HOSPITALS (PVT) LTD.,HOSPITAL,A M D H N WEERASINGHE,Infrastructure,NO. 26,"HATHBODIYA RD., KALUBOWILA",DEHIWELA.,071-7269255,452230923,navinda@singhehospitals.com
1575,SINO LANKA (PVT) LTD.,"TRADING HOUSE,ENGAGE IN SPECIALIZED SERVICES",MR.SUNIL WANIGABADU - ACCOUNTANT,Apparel,"NO. 101 ,WIJERAMA MW.",COLOMBO 07.,,011-4715020,011-4715021,sunil@sinolanka.com
1576,SINO LANKA HOTELS COLOMBO (PVT) LTD.,144 ROOMED HOTEL,CHAMARA KOTTEHEWA,Tourism & Leisure,NO 36-38,"CLIFFORD PLACE,",COLOMBO,2555570,2555572,chamara.kottehewa@ozohotels.com
1577,SINO LANKA HOTELS GALLE (PVT) LTD.,140 ROOMED HOTEL,SUNIL WANIGABADU,Tourism & Leisure,NO. 101,WIJERAMA MW.,COLOMBO 07,4715020,4715021,sunil@sinolanka.com
1578,SINO LANKA PROPERTIES (PVT) LTD.,MIXED DEVELOPMENT PROJECT,SUNIL WANIGABADU,Infrastructure,NO. 101,WIJERAMA MW.,COLOMBO 07,011 4715020,011 4715021,sunil@sinolanka.com
1579,SIRIMEDURA HOSPITALITIES (PVT) LTD.,HOTEL - 118 ROOMS,ASOKA JAYAMANNE,Tourism & Leisure,RAMADA KATUNAYAKE,"NO. 25, NEGOMGO ROAD",SEEDUWA,0112253646/7,112254157,gm@ramadakatunayake.com
1580,SIRIO LTD.,"BRASSIERS, BRIEF, TOP, VEST",FELIX A FERNANDO,Apparel,KATUKENDA ESTATE,KOTADENIYAWA RD.,BADALGAMA.,031-4879500,031-4879534,info@sirioltd.org
1581,SITHMA DEVELOPMENT (PVT) LTD.,MODERN OFFICE COMPLEX,M.R.C. FERNANDO,Infrastructure,"LEVEL 16, HNB TOWERS,","NO 479, TB JAYAH MW,",COLOMBO 10.,112661570,112662810,ruwanf@hnb.lk
1582,SITHMA DEVELOPMENT (PVT) LTD.-EXPANSION,APARTMENT COMPLEX,MR. K V P FERNANDO - DIRECTOR/CEO,Infrastructure,SITHMA DEVELOPMENT (PVT) LTD.,"LEVEL 19, HNB TOWERS, 479","T B JAYAH MW., COLOMBO 10","2662718, 2687575-6",2662801,
1583,SITHRO GARMENT FINISHING COMPANY LTD.,GARMENT WASHING PLANT,ANUDIMA KANKANAMGE,Apparel,NO.103,GAMPAHA ROAD,EKALA,117655707,117655719,Dhanushka.Hettiarachchi@hirdaramani.com
1584,SIYANE FARMS  LTD.,POULTRY FARM,M.Z.A ZAHIRI- CHIEF FIN. OFFICER,Agriculture,NO. 407,GALLE RD.,COLOMBO 03.,2575255/2573055,2575256/577679,zahiri@bairaha.eureka.lk
1585,SKY SPORT LANKA (PVT) LTD.,"PARACHUTES, PARAGLIDERS, MOTORIZED PARAGLIDERS/HANG-GLIDERS.",MANORANJANI KURRLE - GM,Apparel,RING RD.,"PHASE II, E.P.Z.",KATUNAYAKE.,2252438/35,2469016,skyfin@sltnet.lk
1586,SKY SPORT LANKA (PVT) LTD. - EXP1,INFLALABLE OBJECTS,ULRICH KURRLE - MANAGING DIRECTOR,Apparel,,,,2252435/38,2469016,skysport@sltnet.lk
1587,SKY WALKER (PVT) LTD.,FLING BOAT OPERATION,MR.TISSA RANASINGHE,Tourism & Leisure,"24/A, WEWALLA ROAD",GALLE,,091 2245781 / 0718584128,,tissa.ranasinghe@gmail.com
1588,SKYLINE AVIATION (PVT) LTD.,AVIATION TRAINING ACADEMY,ROMESH FERNANDO - DIRECTOR,Knowledge Services,NO. 104/3,NEW AIRPORT RD.,RATMALANA.,0777 361737,4210250,romesh@skylineavi.com
